2014-10-22 18:35:33 status half-installed debconf:all 1.5.53ubuntu1
2014-10-22 18:35:33 status unpacked debconf:all 1.5.53ubuntu1
2014-10-22 18:35:33 status unpacked debconf:all 1.5.53ubuntu1
2014-10-22 18:35:34 install debianutils:amd64 <none> 4.4
2014-10-22 18:35:34 status half-installed debianutils:amd64 4.4
2014-10-22 18:35:35 status unpacked debianutils:amd64 4.4
2014-10-22 18:35:35 status unpacked debianutils:amd64 4.4
2014-10-22 18:35:35 install diffutils:amd64 <none> 1:3.3-1
2014-10-22 18:35:35 status half-installed diffutils:amd64 1:3.3-1
2014-10-22 18:35:35 status unpacked diffutils:amd64 1:3.3-1
2014-10-22 18:35:35 status unpacked diffutils:amd64 1:3.3-1
2014-10-22 18:35:36 upgrade dpkg:amd64 1.17.13ubuntu1 1.17.13ubuntu1
2014-10-22 18:35:36 status half-configured dpkg:amd64 1.17.13ubuntu1
2014-10-22 18:35:36 status unpacked dpkg:amd64 1.17.13ubuntu1
2014-10-22 18:35:36 status half-installed dpkg:amd64 1.17.13ubuntu1
2014-10-22 18:35:37 status half-installed dpkg:amd64 1.17.13ubuntu1
2014-10-22 18:35:38 status unpacked dpkg:amd64 1.17.13ubuntu1
2014-10-22 18:35:38 status unpacked dpkg:amd64 1.17.13ubuntu1
2014-10-22 18:35:38 install e2fslibs:amd64 <none> 1.42.10-1.1ubuntu1
2014-10-22 18:35:38 status half-installed e2fslibs:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:38 status unpacked e2fslibs:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:38 status unpacked e2fslibs:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:38 install e2fsprogs:amd64 <none> 1.42.10-1.1ubuntu1
2014-10-22 18:35:38 status half-installed e2fsprogs:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:39 status unpacked e2fsprogs:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:39 status unpacked e2fsprogs:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:39 install findutils:amd64 <none> 4.4.2-9
2014-10-22 18:35:39 status half-installed findutils:amd64 4.4.2-9
2014-10-22 18:35:39 status unpacked findutils:amd64 4.4.2-9
2014-10-22 18:35:39 status unpacked findutils:amd64 4.4.2-9
2014-10-22 18:35:40 install gcc-4.9-base:amd64 <none> 4.9.1-16ubuntu6
2014-10-22 18:35:40 status half-installed gcc-4.9-base:amd64 4.9.1-16ubuntu6
2014-10-22 18:35:40 status unpacked gcc-4.9-base:amd64 4.9.1-16ubuntu6
2014-10-22 18:35:40 status unpacked gcc-4.9-base:amd64 4.9.1-16ubuntu6
2014-10-22 18:35:40 install grep:amd64 <none> 2.20-3
2014-10-22 18:35:40 status half-installed grep:amd64 2.20-3
2014-10-22 18:35:40 status unpacked grep:amd64 2.20-3
2014-10-22 18:35:40 status unpacked grep:amd64 2.20-3
2014-10-22 18:35:40 install gzip:amd64 <none> 1.6-3ubuntu1
2014-10-22 18:35:40 status half-installed gzip:amd64 1.6-3ubuntu1
2014-10-22 18:35:41 status unpacked gzip:amd64 1.6-3ubuntu1
2014-10-22 18:35:41 status unpacked gzip:amd64 1.6-3ubuntu1
2014-10-22 18:35:41 install hostname:amd64 <none> 3.15ubuntu2
2014-10-22 18:35:41 status half-installed hostname:amd64 3.15ubuntu2
2014-10-22 18:35:41 status unpacked hostname:amd64 3.15ubuntu2
2014-10-22 18:35:41 status unpacked hostname:amd64 3.15ubuntu2
2014-10-22 18:35:42 install ifupdown:amd64 <none> 0.7.48.1ubuntu5
2014-10-22 18:35:42 status half-installed ifupdown:amd64 0.7.48.1ubuntu5
2014-10-22 18:35:42 status unpacked ifupdown:amd64 0.7.48.1ubuntu5
2014-10-22 18:35:42 status unpacked ifupdown:amd64 0.7.48.1ubuntu5
2014-10-22 18:35:42 install init-system-helpers:all <none> 1.20ubuntu3
2014-10-22 18:35:42 status half-installed init-system-helpers:all 1.20ubuntu3
2014-10-22 18:35:42 status unpacked init-system-helpers:all 1.20ubuntu3
2014-10-22 18:35:43 status unpacked init-system-helpers:all 1.20ubuntu3
2014-10-22 18:35:43 install initramfs-tools:all <none> 0.103ubuntu8
2014-10-22 18:35:43 status half-installed initramfs-tools:all 0.103ubuntu8
2014-10-22 18:35:44 status unpacked initramfs-tools:all 0.103ubuntu8
2014-10-22 18:35:44 status unpacked initramfs-tools:all 0.103ubuntu8
2014-10-22 18:35:44 install initramfs-tools-bin:amd64 <none> 0.103ubuntu8
2014-10-22 18:35:44 status half-installed initramfs-tools-bin:amd64 0.103ubuntu8
2014-10-22 18:35:44 status unpacked initramfs-tools-bin:amd64 0.103ubuntu8
2014-10-22 18:35:44 status unpacked initramfs-tools-bin:amd64 0.103ubuntu8
2014-10-22 18:35:44 install initscripts:amd64 <none> 2.88dsf-41ubuntu18
2014-10-22 18:35:44 status half-installed initscripts:amd64 2.88dsf-41ubuntu18
2014-10-22 18:35:45 status unpacked initscripts:amd64 2.88dsf-41ubuntu18
2014-10-22 18:35:45 status unpacked initscripts:amd64 2.88dsf-41ubuntu18
2014-10-22 18:35:45 install insserv:amd64 <none> 1.14.0-5ubuntu2
2014-10-22 18:35:45 status half-installed insserv:amd64 1.14.0-5ubuntu2
2014-10-22 18:35:45 status unpacked insserv:amd64 1.14.0-5ubuntu2
2014-10-22 18:35:45 status unpacked insserv:amd64 1.14.0-5ubuntu2
2014-10-22 18:35:45 install iproute2:amd64 <none> 3.16.0-2
2014-10-22 18:35:45 status half-installed iproute2:amd64 3.16.0-2
2014-10-22 18:35:47 status unpacked iproute2:amd64 3.16.0-2
2014-10-22 18:35:47 status unpacked iproute2:amd64 3.16.0-2
2014-10-22 18:35:47 install klibc-utils:amd64 <none> 2.0.3-0ubuntu1
2014-10-22 18:35:47 status half-installed klibc-utils:amd64 2.0.3-0ubuntu1
2014-10-22 18:35:48 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2014-10-22 18:35:48 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2014-10-22 18:35:48 install kmod:amd64 <none> 18-1ubuntu2
2014-10-22 18:35:48 status half-installed kmod:amd64 18-1ubuntu2
2014-10-22 18:35:48 status unpacked kmod:amd64 18-1ubuntu2
2014-10-22 18:35:48 status unpacked kmod:amd64 18-1ubuntu2
2014-10-22 18:35:49 install libacl1:amd64 <none> 2.2.52-1.1
2014-10-22 18:35:49 status half-installed libacl1:amd64 2.2.52-1.1
2014-10-22 18:35:49 status unpacked libacl1:amd64 2.2.52-1.1
2014-10-22 18:35:49 status unpacked libacl1:amd64 2.2.52-1.1
2014-10-22 18:35:49 install libattr1:amd64 <none> 1:2.4.47-2
2014-10-22 18:35:49 status half-installed libattr1:amd64 1:2.4.47-2
2014-10-22 18:35:49 status unpacked libattr1:amd64 1:2.4.47-2
2014-10-22 18:35:49 status unpacked libattr1:amd64 1:2.4.47-2
2014-10-22 18:35:49 install libaudit-common:all <none> 1:2.3.7-1ubuntu1
2014-10-22 18:35:49 status half-installed libaudit-common:all 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 status unpacked libaudit-common:all 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 status unpacked libaudit-common:all 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 install libaudit1:amd64 <none> 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 status half-installed libaudit1:amd64 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 status unpacked libaudit1:amd64 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 status unpacked libaudit1:amd64 1:2.3.7-1ubuntu1
2014-10-22 18:35:50 install libblkid1:amd64 <none> 2.25.1-3ubuntu4
2014-10-22 18:35:50 status half-installed libblkid1:amd64 2.25.1-3ubuntu4
2014-10-22 18:35:50 status unpacked libblkid1:amd64 2.25.1-3ubuntu4
2014-10-22 18:35:50 status unpacked libblkid1:amd64 2.25.1-3ubuntu4
2014-10-22 18:35:51 install libbz2-1.0:amd64 <none> 1.0.6-5ubuntu5
2014-10-22 18:35:51 status half-installed libbz2-1.0:amd64 1.0.6-5ubuntu5
2014-10-22 18:35:51 status unpacked libbz2-1.0:amd64 1.0.6-5ubuntu5
2014-10-22 18:35:51 status unpacked libbz2-1.0:amd64 1.0.6-5ubuntu5
2014-10-22 18:35:51 install libc-bin:amd64 <none> 2.19-10ubuntu2
2014-10-22 18:35:51 status half-installed libc-bin:amd64 2.19-10ubuntu2
2014-10-22 18:35:52 status unpacked libc-bin:amd64 2.19-10ubuntu2
2014-10-22 18:35:52 status unpacked libc-bin:amd64 2.19-10ubuntu2
2014-10-22 18:35:52 upgrade libc6:amd64 2.19-10ubuntu2 2.19-10ubuntu2
2014-10-22 18:35:52 status half-configured libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:52 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:52 status half-installed libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:56 status half-installed libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:57 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:57 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:57 install libcap2:amd64 <none> 1:2.24-0ubuntu2
2014-10-22 18:35:57 status half-installed libcap2:amd64 1:2.24-0ubuntu2
2014-10-22 18:35:57 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2014-10-22 18:35:57 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2014-10-22 18:35:57 install libcgmanager0:amd64 <none> 0.32-4ubuntu1
2014-10-22 18:35:57 status half-installed libcgmanager0:amd64 0.32-4ubuntu1
2014-10-22 18:35:57 status unpacked libcgmanager0:amd64 0.32-4ubuntu1
2014-10-22 18:35:57 status unpacked libcgmanager0:amd64 0.32-4ubuntu1
2014-10-22 18:35:57 install libcomerr2:amd64 <none> 1.42.10-1.1ubuntu1
2014-10-22 18:35:57 status half-installed libcomerr2:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:58 status unpacked libcomerr2:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:58 status unpacked libcomerr2:amd64 1.42.10-1.1ubuntu1
2014-10-22 18:35:58 install libdb5.3:amd64 <none> 5.3.28-5
2014-10-22 18:35:58 status half-installed libdb5.3:amd64 5.3.28-5
2014-10-22 18:35:58 status unpacked libdb5.3:amd64 5.3.28-5
2014-10-22 18:35:58 status unpacked libdb5.3:amd64 5.3.28-5
2014-10-22 18:35:58 install libdbus-1-3:amd64 <none> 1.8.8-1ubuntu2
2014-10-22 18:35:58 status half-installed libdbus-1-3:amd64 1.8.8-1ubuntu2
2014-10-22 18:35:59 status unpacked libdbus-1-3:amd64 1.8.8-1ubuntu2
2014-10-22 18:35:59 status unpacked libdbus-1-3:amd64 1.8.8-1ubuntu2
2014-10-22 18:35:59 install libdebconfclient0:amd64 <none> 0.191ubuntu1
2014-10-22 18:35:59 status half-installed libdebconfclient0:amd64 0.191ubuntu1
2014-10-22 18:35:59 status unpacked libdebconfclient0:amd64 0.191ubuntu1
2014-10-22 18:35:59 status unpacked libdebconfclient0:amd64 0.191ubuntu1
2014-10-22 18:35:59 install libdrm2:amd64 <none> 2.4.56-1
2014-10-22 18:35:59 status half-installed libdrm2:amd64 2.4.56-1
2014-10-22 18:36:00 status unpacked libdrm2:amd64 2.4.56-1
